"workerid","reward","comments","age","language","qNumber","qtype","dollar_amount","sigs","object","response","rt","level","id","date","phrasing"
"115_07c","$0.40","""""","""24""","""English""",16,"concrete",200,1,"headphones",9,3211,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",17,"concrete",180,1,"coffee maker",9,2476,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",18,"inductive",150,3,"sweater",5,5286,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",19,"inductive",1700,3,"laptop",4,6709,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",20,"inductive",7,0.01,"watch",8,5881,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",21,"inductive",6,0.1,"coffee maker",9,5601,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",22,"concrete",130,1,"sweater",9,5215,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",23,"concrete",2350,2,"laptop",9,2747,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",24,"inductive",70,0.1,"watch",8,5714,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",25,"inductive",0.79,0.01,"headphones",9,4722,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",26,"concrete",250,3,"sweater",9,3295,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",27,"inductive",130,2,"coffee maker",8,3567,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",28,"inductive",250,3,"headphones",2,4254,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",29,"concrete",350,4,"coffee maker",9,2868,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",30,"inductive",160,2,"headphones",3,3456,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",31,"inductive",50,1,"sweater",5,3311,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",32,"inductive",60,1,"coffee maker",5,5277,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",33,"concrete",450,4,"headphones",9,2765,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",34,"inductive",0.63,0.01,"coffee maker",9,9690,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",35,"concrete",120,0,"headphones",9,3884,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",36,"concrete",700,0,"watch",9,1966,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",37,"concrete",180,2,"sweater",9,2017,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",38,"inductive",550,1,"laptop",5,3042,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",39,"concrete",350,3,"headphones",9,2719,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",40,"inductive",80,1,"headphones",8,3880,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",41,"inductive",20,0.5,"sweater",9,6711,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",42,"inductive",190,3,"coffee maker",4,5074,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",43,"inductive",350,0.5,"watch",5,5070,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",44,"concrete",3350,4,"watch",9,5819,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",45,"concrete",80,0,"sweater",7,4103,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",46,"inductive",300,0.5,"laptop",5,4672,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",47,"concrete",2700,3,"watch",9,2792,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",48,"concrete",1800,1,"laptop",9,2635,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",49,"concrete",120,0,"coffee maker",9,2556,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",50,"inductive",0.49,0.01,"sweater",9,3142,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",51,"inductive",30,0.5,"coffee maker",8,4250,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",52,"concrete",250,2,"coffee maker",9,2711,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",53,"inductive",8,0.1,"headphones",9,4075,NA,"07c","2014 February 6 5am",NA
"115_07c","$0.40","""""","""24""","""English""",54,"inductive",1150,2,"laptop",4,3992,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",0,"inductive",160,2,"headphones",3,22817,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",1,"concrete",300,2,"headphones",9,4949,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",2,"inductive",40,0.5,"headphones",5,10363,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",3,"concrete",2900,3,"laptop",8,6469,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",4,"concrete",2050,2,"watch",9,2739,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",5,"inductive",1700,3,"laptop",3,8480,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",6,"concrete",350,4,"coffee maker",9,5055,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",7,"inductive",80,1,"headphones",5,11990,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",8,"concrete",120,0,"headphones",7,11131,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",9,"concrete",180,2,"sweater",8,4600,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",10,"concrete",200,1,"headphones",8,5066,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",11,"inductive",0.63,0.01,"coffee maker",9,6917,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",12,"concrete",120,0,"coffee maker",3,9550,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",13,"inductive",1150,2,"laptop",3,14017,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",14,"concrete",130,1,"sweater",8,4007,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",15,"inductive",190,3,"coffee maker",3,13580,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",16,"inductive",60,1,"coffee maker",5,8924,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",17,"inductive",60,0.1,"laptop",9,7783,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",18,"inductive",0.49,0.01,"sweater",9,4469,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",19,"inductive",130,2,"coffee maker",5,10531,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",20,"concrete",1200,0,"laptop",3,7075,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",21,"concrete",250,3,"sweater",9,3465,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",22,"concrete",700,0,"watch",9,2435,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",23,"inductive",1950,3,"watch",5,13374,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",24,"inductive",6,0.01,"laptop",9,4673,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",25,"concrete",450,4,"headphones",9,5894,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",26,"concrete",80,0,"sweater",6,11568,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",27,"inductive",50,1,"sweater",5,5447,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",28,"inductive",30,0.5,"coffee maker",8,4880,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",29,"inductive",250,3,"headphones",4,14441,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",30,"inductive",0.79,0.01,"headphones",9,3741,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",31,"inductive",20,0.5,"sweater",8,6353,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",32,"inductive",5,0.1,"sweater",9,3959,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",33,"inductive",7,0.01,"watch",9,3954,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",34,"inductive",350,0.5,"watch",5,9198,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",35,"inductive",650,1,"watch",5,4024,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",36,"concrete",1400,1,"watch",9,2465,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",37,"concrete",3350,4,"watch",9,2864,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",38,"concrete",350,3,"headphones",9,3140,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",39,"inductive",1300,2,"watch",5,6489,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",40,"concrete",300,3,"coffee maker",8,5177,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",41,"inductive",300,0.5,"laptop",6,7648,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",42,"inductive",6,0.1,"coffee maker",9,5671,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",43,"concrete",2350,2,"laptop",7,10915,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",44,"concrete",300,4,"sweater",9,2883,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",45,"concrete",180,1,"coffee maker",6,7394,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",46,"concrete",3450,4,"laptop",9,5875,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",47,"concrete",2700,3,"watch",9,3278,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",48,"inductive",550,1,"laptop",5,6044,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",49,"inductive",70,0.1,"watch",8,7738,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",50,"inductive",8,0.1,"headphones",9,4573,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",51,"inductive",150,3,"sweater",5,9798,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",52,"concrete",250,2,"coffee maker",8,10497,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",53,"concrete",1800,1,"laptop",4,9339,NA,"07c","2014 February 6 5am",NA
"116_07c","$0.40","""No+useful+comments%2C+but+good+luck+with+your+research!""","""40""","""English""",54,"inductive",100,2,"sweater",5,4230,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",0,"inductive",0.49,0.01,"sweater",5,11670,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",1,"inductive",350,0.5,"watch",4,6553,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",2,"concrete",180,2,"sweater",8,6170,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",3,"inductive",70,0.1,"watch",7,6210,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",4,"inductive",300,0.5,"laptop",5,4596,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",5,"inductive",8,0.1,"headphones",6,4249,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",6,"concrete",80,0,"sweater",8,3456,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",7,"concrete",130,1,"sweater",9,2674,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",8,"inductive",6,0.1,"coffee maker",7,4329,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",9,"inductive",190,3,"coffee maker",6,4476,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",10,"inductive",150,3,"sweater",6,3536,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",11,"concrete",350,3,"headphones",9,4199,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",12,"inductive",1300,2,"watch",6,7138,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",13,"inductive",6,0.01,"laptop",6,3882,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",14,"concrete",450,4,"headphones",9,2763,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",15,"concrete",180,1,"coffee maker",8,2803,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",16,"inductive",250,3,"headphones",6,2842,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",17,"inductive",550,1,"laptop",6,3426,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",18,"inductive",650,1,"watch",6,2050,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",19,"inductive",0.79,0.01,"headphones",5,4160,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",20,"inductive",1150,2,"laptop",5,2258,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",21,"concrete",1800,1,"laptop",9,3228,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",22,"concrete",250,3,"sweater",9,2891,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",23,"inductive",50,1,"sweater",5,2536,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",24,"concrete",2350,2,"laptop",9,2516,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",25,"inductive",0.63,0.01,"coffee maker",5,2298,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",26,"inductive",100,2,"sweater",6,3762,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",27,"concrete",2700,3,"watch",9,2300,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",28,"inductive",60,0.1,"laptop",6,2921,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",29,"concrete",350,4,"coffee maker",9,2892,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",30,"concrete",1200,0,"laptop",9,2149,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",31,"concrete",300,3,"coffee maker",9,2645,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",32,"concrete",300,2,"headphones",9,2248,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",33,"inductive",60,1,"coffee maker",6,4140,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",34,"inductive",130,2,"coffee maker",5,2071,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",35,"inductive",1950,3,"watch",5,2970,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",36,"concrete",1400,1,"watch",9,3289,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",37,"concrete",250,2,"coffee maker",9,2813,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",38,"concrete",120,0,"coffee maker",5,2445,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",39,"inductive",20,0.5,"sweater",5,2298,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",40,"inductive",1700,3,"laptop",5,3646,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",41,"inductive",7,0.01,"watch",5,2407,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",42,"concrete",2900,3,"laptop",9,2712,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",43,"concrete",300,4,"sweater",9,3328,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",44,"inductive",5,0.1,"sweater",5,2437,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",45,"inductive",30,0.5,"coffee maker",5,2603,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",46,"concrete",120,0,"headphones",5,2903,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",47,"concrete",2050,2,"watch",9,2288,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",48,"concrete",3450,4,"laptop",9,2356,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",49,"concrete",3350,4,"watch",9,2575,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",50,"inductive",40,0.5,"headphones",5,2297,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",51,"inductive",160,2,"headphones",5,2081,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",52,"concrete",700,0,"watch",9,2229,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",53,"inductive",80,1,"headphones",5,2267,NA,"07c","2014 February 6 5am",NA
"117_07c","$0.40","""""","""40""","""english""",54,"concrete",200,1,"headphones",9,2524,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",0,"concrete",1200,0,"laptop",7,3256,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",1,"inductive",150,3,"sweater",5,2557,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",2,"concrete",250,2,"coffee maker",6,1699,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",3,"concrete",2900,3,"laptop",8,2748,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",4,"concrete",350,3,"headphones",6,1612,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",5,"inductive",80,1,"headphones",5,1786,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",6,"concrete",2350,2,"laptop",8,1868,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",7,"inductive",250,3,"headphones",6,1624,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",8,"inductive",6,0.01,"laptop",8,3276,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",9,"inductive",70,0.1,"watch",5,2835,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",10,"concrete",3450,4,"laptop",9,2907,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",11,"inductive",40,0.5,"headphones",7,1979,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",12,"concrete",180,2,"sweater",7,1808,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",13,"concrete",120,0,"coffee maker",5,1712,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",14,"inductive",130,2,"coffee maker",7,1955,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",15,"concrete",2050,2,"watch",9,2212,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",16,"inductive",0.79,0.01,"headphones",9,2504,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",17,"concrete",300,3,"coffee maker",6,1966,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",18,"concrete",3350,4,"watch",9,1944,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",19,"inductive",20,0.5,"sweater",8,3262,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",20,"inductive",1700,3,"laptop",6,2211,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",21,"concrete",350,4,"coffee maker",7,2161,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",22,"inductive",50,1,"sweater",7,2113,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",23,"concrete",1400,1,"watch",6,1503,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",24,"inductive",60,1,"coffee maker",7,1724,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",25,"inductive",8,0.1,"headphones",6,2285,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",26,"inductive",650,1,"watch",6,3654,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",27,"inductive",300,0.5,"laptop",6,1734,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",28,"inductive",350,0.5,"watch",6,2407,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",29,"inductive",100,2,"sweater",7,2799,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",30,"concrete",1800,1,"laptop",6,2148,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",31,"inductive",0.49,0.01,"sweater",8,2972,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",32,"inductive",6,0.1,"coffee maker",7,2135,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",33,"concrete",200,1,"headphones",6,2810,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",34,"concrete",450,4,"headphones",8,2996,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",35,"concrete",250,3,"sweater",7,1989,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",36,"inductive",1150,2,"laptop",8,3188,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",37,"inductive",160,2,"headphones",8,2676,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",38,"inductive",5,0.1,"sweater",8,2211,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",39,"inductive",7,0.01,"watch",7,1737,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",40,"concrete",80,0,"sweater",6,2833,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",41,"concrete",120,0,"headphones",5,2590,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",42,"inductive",1300,2,"watch",8,2125,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",43,"concrete",180,1,"coffee maker",6,2565,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",44,"concrete",700,0,"watch",6,2114,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",45,"inductive",30,0.5,"coffee maker",8,2602,NA,"07c","2014 February 6 5am",NA
"118_07c","$0.40","""""","""21""","""english""",46,"inductive",60,0.1,"laptop",7,2224,NA,"07c","2014 February 6 5am",NA
